County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Autauga, Alabama,"44,015","10,646",601,858,105
Baldwin, Alabama,"173,395","19,807","2,926","2,331",284
Barbour, Alabama,"13,784","13,045",270,168,62
Bibb, Alabama,"17,346","5,082",189,64,38
Blount, Alabama,"56,195","1,266",766,243,88
Bullock, Alabama,"2,996","7,499",128,48,88
Butler, Alabama,"11,127","8,915",145,214,16
Calhoun, Alabama,"90,460","25,410","1,322","1,384",236
Chambers, Alabama,"20,451","13,576",220,287,40
Cherokee, Alabama,"24,793","1,334",353,106,23
Chilton, Alabama,"38,899","4,810",413,256,92
Choctaw, Alabama,"7,618","5,778",63,44,1
Clarke, Alabama,"13,817","11,242",181,166,13
Clay, Alabama,"11,426","2,074",177,55,3
Cleburne, Alabama,"14,347",640,113,46,16
Coffee, Alabama,"40,201","9,440","1,230","1,114",285
Colbert, Alabama,"44,894","9,392",700,383,53
Conecuh, Alabama,"6,872","6,008",124,48,11
Coosa, Alabama,"7,367","3,463",142,33,24
Covington, Alabama,"32,617","5,116",487,236,11
Crenshaw, Alabama,"10,279","3,514",151,259,15
Cullman, Alabama,"78,684","1,420","1,086",548,66
Dale, Alabama,"38,839","10,493",909,"1,003",146
Dallas, Alabama,"12,429","29,405",187,243,34
De Kalb, Alabama,"67,108","1,806","2,675",408,617
Elmore, Alabama,"62,728","17,624",817,873,136
Escambia, Alabama,"24,253","12,530","1,612",186,39
Etowah, Alabama,"85,980","16,889","1,295","1,017",360
Fayette, Alabama,"14,781","2,105",137,67,4
Franklin, Alabama,"29,537","1,563",684,163,56
Geneva, Alabama,"23,710","2,824",454,171,24
Greene, Alabama,"1,678","7,044",42,30,2
Hale, Alabama,"6,394","8,974",66,62,6
Henry, Alabama,"12,309","4,878",124,171,10
Houston, Alabama,"74,555","28,336","1,223","1,278",190
Jackson, Alabama,"49,939","2,144","1,798",372,91
Jefferson, Alabama,"363,412","286,110","5,045","11,923",662
Lamar, Alabama,"12,567","1,721",99,41,9
Lauderdale, Alabama,"81,937","10,166",969,961,89
Lawrence, Alabama,"27,663","4,070","3,158",154,29
Lee, Alabama,"109,866","36,529","1,302","5,366",273
Limestone, Alabama,"74,868","12,496","1,553","1,533",222
Lowndes, Alabama,"2,811","7,863",62,47,3
Macon, Alabama,"3,489","16,202",148,111,22
Madison, Alabama,"248,629","89,099","6,183","11,274",749
Marengo, Alabama,"9,698","10,383",101,87,43
Marion, Alabama,"28,827","1,429",272,131,24
Marshall, Alabama,"90,473","2,848","1,847",812,303
Mobile, Alabama,"254,729","149,315","6,675","9,459",519
Monroe, Alabama,"12,637","9,359",444,132,22
Montgomery, Alabama,"91,783","129,550","1,807","6,395",429
Morgan, Alabama,"102,444","15,887","2,439","1,165",218
Perry, Alabama,"3,175","6,808",50,48,6
Pickens, Alabama,"11,290","8,051",96,83,69
Pike, Alabama,"20,038","12,518",452,786,71
Randolph, Alabama,"17,933","4,735",228,110,23
Russell, Alabama,"33,279","25,957",818,817,243
